id;georgian_date;type;incipit;transcription;collection;archive;folder;folder_n;shelf_mark;publication;field
7ae6bd57-153e-4578-a55d-2cf8ccac695d;2022-07-06;Image;Implementation;transmit Chicken;optimize;Other;drive;black;Chicken;teal orchid AGP;Optics
a8b759ae-8942-4c4f-91c0-64042ae40209;2022-07-05;Image;Borders turn-key SSL;Metal bricks-and-clicks;turquoise scalable Beauty;BNF;Health Georgia Unbranded;Account Tactics;Checking dynamic;Savings Idaho;Travel
af4e4d2a-3238-4667-ab82-0843b16c9394;2022-07-05;Letter;Senior pink Shirt;Fords;up Customer;BNF;up Solutions Arkansas;info-mediaries;Universal;enhance Identity;Pneumatics
61c47aec-35f7-4301-8301-59594c08e942;2022-07-06;ResearchNotes;Card microchip;Tools;synthesizing Plastic;UBL;Product reboot disintermediate;Grocery CSS online;matrix Dynamic context-sensitive;alarm;Travel
a5ef2aed-240f-43c1-bc91-d9165a6b1b8c;2022-07-05;Letter;Licensed Zambia optical;world-class Moroccan;matrix front-end Realigned;Other;policy International directional;1080p Connecticut;Creative Fish navigating;motivating Bermuda Card;Pneumatics
7d6bed2c-e503-4ec6-a5d8-c95daaf81f15;2022-07-06;Image;multi-byte Kyat executive;deposit Handmade navigating;Cheese;BNCF;parse redefine Clothing;Account Intranet Usability;matrix;Senior Grenadines;Astronomy
1180151c-903c-491b-a571-c6fc51b1074a;2022-07-05;Letter;Movies Gloves Dobra;Investor;management;BNF;transmit asynchronous indexing;HTTP multimedia;SSL bandwidth;Tanzanian;Pneumatics
b384339d-dedc-4378-8440-25b2017414dc;2022-07-05;Letter;compressing back-end Tasty;Salad Customer-focused initiatives;bluetooth Rustic;BNF;Dynamic bandwidth;Technician Games;Branding contingency Frozen;Belize hacking systems;Travel
481a6c77-6ee5-4dd9-aff9-fcde67db444b;2022-07-06;ResearchNotes;synthesizing Team-oriented;help-desk wireless;Intelligent;BNF;Maine Savings Avon;violet Baby Spain;Unbranded Bacon Tactics;deposit;Optics
71ce8db8-ce7d-4c3d-9e65-b9a945d4bf92;2022-07-05;Letter;hack Bedfordshire policy;Texas conglomeration;vertical exploit;BNF;Rubber;Engineer web Polarised;Operations;Technician synergies;Travel
