id;name;latin_name;aka;birth;death;affiliation
1;Alaska;utilize;Togo architectures;92101;1921;Cotton asymmetric
2;out-of-the-box;Towels;Buckinghamshire bypass;12030;31249;Handcrafted Investor Wyoming
3;Ports panel Sausages;Dale Florida;Buckinghamshire monetize;94790;73904;cyan CFA
4;Security Avon;intermediate eyeballs;Generic;93014;60370;Equatorial wireless
5;Applications Strategist;withdrawal;leverage Analyst;5607;11272;Chips Generic Communications
6;Gorgeous;Grocery Shilling;fuchsia;48160;13604;backing
7;Customer-focused bandwidth programming;Concrete;Small;41005;94073;Towels Wooden
8;Cedi Ball Tasty;Bedfordshire paradigms PCI;National Pataca;71849;25446;Unbranded Cambridgeshire Wooden
9;syndicate;Wisconsin Lakes disintermediate;synergies microchip programming;68692;44539;Intelligent
10;calculate full-range robust;compelling;Computers Mississippi Ways;78644;81168;Intuitive
